Rainfall,WindSpeed3pm,Humidity3pm,Pressure3pm,Temp3pm
0,19,27,1015.8,22.6
0,26,28,1017.3,25.3
0,15,32,1021.8,27
0,15,27,1025.3,28.9
0,9,29,1024.8,30.3
0,13,29,1020.6,32.8
0,11,23,1017.2,33.8
0,13,18,1017.8,34.9
0,28,18,1014.8,34.6
0,17,22,1013.9,31.7
0,11,25,1011.2,32.6
0,22,16,1006.5,35.4
0,13,20,1002.6,33.4
0,9,18,1005.9,28.6
0,9,18,1007.1,32.7
0,22,11,1004.6,39
0,13,21,1002.3,36.4
10.6,9,91,1009,20.8
25.8,46,67,1003.5,25.6
0.4,9,37,1020.6,22.7
0,7,40,1021.6,24.9
0,7,36,1016,32
0,39,70,1008.4,25.2
10.2,0,56,1008.6,24.7
0,24,27,1002.7,25.7
9.4,19,54,1000.9,20.7
2.4,24,35,1009.3,23.6
0,22,31,1016.9,22.6
0,9,29,1018.9,25.5
0,17,16,1014.3,29.8
0,20,7,1014.4,26.8
0,24,22,1012.9,25.7
0,13,23,1012.4,28.7
0,28,19,1009,30.6
0,28,45,1006,21.8
1.2,15,24,1009.2,23.4
0,19,26,1004.7,25.6
1,20,30,1016.3,21
0,15,31,1016.1,26
0,24,27,1015,28.9
0,15,25,1015.8,30.6
0,19,22,1015.4,32.5
0,20,8,1012.3,36.9
0,50,28,1005.7,31.4
3,17,19,1014.1,24.9
0,20,23,1014.2,27.7
0,7,21,1013.7,30.4
0,22,10,1009.6,32.7
0,19,10,1007.3,35.9
0,11,12,1008.8,37.5
0,20,29,1006.3,30.4
9.8,6,49,1008,27.5
0,7,34,1011.9,29.4
0,15,74,1013.9,22.7
0,11,23,1012.6,34.1
0,9,24,1017,34.1
0,15,15,1016.7,35.1
0,20,35,1012,31.1
